feature,importance_mean,importance_std
hr_cos,0.8884574811397845,0.06668963265275686
hr_sin,0.3825738686413139,0.023753188504531213
workingday,0.30270810119866665,0.033068452164878234
temp,0.1265929313107982,0.011932275074054857
season,0.10739903328617192,0.013838090276882759
weathersit,0.02808074823401646,0.005065246253241051
hum,0.021371443550276193,0.015879726860053123
weekday,0.010976846119900973,0.0030019728641708307
windspeed,0.007105313824376602,0.001811771198420586
holiday,0.0011388362601724045,0.0005197525007813428
yr,0.0,0.0
mnth_sin,0.0,0.0
mnth_cos,0.0,0.0
